10,3.01,22.22,332.14,11.95,18.82,83.68
20,2.99,28.3,334.21,11.97,24.78,83.55
30,3.04,33.83,328.53,11.0,30.06,90.94
40,2.99,38.6,334.21,12.14,34.56,82.4
50,2.99,43.37,333.94,11.02,38.97,90.72
60,2.99,48.68,334.18,11.08,43.73,90.28
70,4.02,57.57,248.67,10.99,51.75,91.01
80,3.99,75.05,250.66,11.97,66.94,83.57
90,3.03,127.88,329.59,13.0,112.97,76.92
100,9.95,746.38,100.5,18.03,546.52,55.47
