10,24.93,178.62,100.8,147.46
20,24.1,207.79,100.81,176.56
30,23.99,238.47,99.75,205.3
40,23.91,274.04,99.76,237.76
50,25.94,322.01,101.93,281.08
60,25.94,390.79,102.0,340.83
70,27.03,522.89,104.0,454.62
80,30.97,780.09,109.03,667.45
90,36.01,1434.2,118.95,1206.22
100,96.99,7848.49,171.03,5751.87
