10,9.98,82.02,100.24,43.98,68.28,22.74
20,11.02,98.61,90.73,44.02,84.87,22.71
30,10.02,114.58,99.81,44.94,100.14,22.25
40,12.02,129.22,83.22,44.15,113.91,22.65
50,11.0,145.5,90.91,45.04,128.82,22.2
60,11.02,167.22,90.74,44.96,148.19,22.24
70,12.0,211.71,83.36,46.03,187.62,21.72
80,11.99,305.22,83.4,46.98,266.31,21.29
90,15.99,569.76,62.52,52.99,487.56,18.87
100,41.98,3339.75,23.82,75.89,2420.25,13.18
